Date,Plant,ProductionLine,ProductionShift,ProductType,BottlesProduced,BottlesDamaged,BottlesFilled,Warehouse,UnitsDispatched,DispatchRegion,TransportMode,SalesChannel,RevenueAED,CostAED,MachineDowntimeMin,EnergyConsumptionkWh,WaterUsageLiters,TemperatureC
1/18/2024,Abu Dhabi Main,Line A,Night,330ml,2923,29,2894,Abu Dhabi Port,1699,Abu Dhabi,Third-party Logistics,Retail,2378.6,1192.2,8,52.78,4350.77,22.4
1/18/2024,Abu Dhabi Main,Line A,Night,500ml,4242,91,4151,Dubai Hub,2436,Al Ain,Company Truck,Wholesale,4384.8,2201.5,9,88.88,6361.26,21.8
1/18/2024,Abu Dhabi Main,Line B,Morning,5 Gallon,740,6,734,Dubai Hub,384,Dubai,Company Truck,Retail,7680,4608.6,8,29.02,11109.69,22.9
1/18/2024,Abu Dhabi Main,Line B,Morning,330ml,4583,76,4507,Mussafah,2574,Abu Dhabi,Contractor,Online,3603.6,1809.4,6,90.01,6841.03,23.1
1/18/2024,Abu Dhabi Main,Line B,Morning,500ml,2218,29,2189,Abu Dhabi Port,1276,Abu Dhabi,Company Truck,Retail,2296.8,1151.3,3,46.35,3316.4,20.9
1/18/2024,Abu Dhabi Main,Line B,Evening,5 Gallon,1004,9,995,Khalifa City,544,Abu Dhabi,Third-party Logistics,Retail,10880,6528.9,7,43.28,15038.32,24.8
1/18/2024,Abu Dhabi Main,Line B,Evening,330ml,4340,85,4255,Mussafah,2458,Abu Dhabi,Contractor,Wholesale,3441.2,1729.1,5,81.57,6493.99,23.7
1/18/2024,Abu Dhabi Main,Line B,Evening,500ml,4504,57,4447,Khalifa City,2643,Abu Dhabi,Company Truck,Retail,4757.4,2384.4,7,77.28,6721.07,20.8
1/18/2024,Abu Dhabi Main,Line B,Night,5 Gallon,980,8,972,Dubai Hub,512,Sharjah,Company Truck,Wholesale,10240,6144.8,10,55.23,14690.45,22.8
1/18/2024,Abu Dhabi Main,Line B,Night,330ml,2590,49,2541,Dubai Hub,1487,Al Ain,Company Truck,Retail,2081.8,1045.8,13,61.48,3846.6,22
1/18/2024,Abu Dhabi Main,Line B,Night,500ml,4557,78,4479,Dubai Hub,2581,Dubai,Company Truck,Wholesale,4645.8,2330.7,6,77.16,6819.21,24.2
1/18/2024,Abu Dhabi Main,Line C,Morning,5 Gallon,705,6,699,Dubai Hub,376,Abu Dhabi,Company Truck,Retail,7520,4512.6,4,29.93,10613.92,22.5
1/18/2024,Abu Dhabi Main,Line C,Morning,330ml,3904,40,3864,Abu Dhabi Port,2287,Abu Dhabi,Company Truck,Retail,3201.8,1604.9,7,83.52,5865.58,21.7
1/18/2024,Abu Dhabi Main,Line C,Morning,500ml,3417,40,3377,Dubai Hub,1952,Al Ain,Company Truck,Subscription,3513.6,1760.8,5,75.9,5099.91,23
1/18/2024,Abu Dhabi Main,Line C,Evening,5 Gallon,889,5,884,Mussafah,471,Abu Dhabi,Third-party Logistics,Retail,9420,5652.5,6,61.55,13359.93,21.8
1/18/2024,Abu Dhabi Main,Line C,Evening,330ml,3593,41,3552,Mussafah,2033,Dubai,Contractor,Subscription,2846.2,1427.2,6,76.48,5393.42,24
1/18/2024,Abu Dhabi Main,Line C,Evening,500ml,2091,52,2039,Khalifa City,1196,Abu Dhabi,Contractor,Wholesale,2152.8,1081.6,10,58.21,3154.32,21.2
1/18/2024,Abu Dhabi Main,Line C,Night,5 Gallon,570,4,566,Abu Dhabi Port,304,Abu Dhabi,Company Truck,Wholesale,6080,3648.4,11,17.34,8561.14,23.2
1/18/2024,Abu Dhabi Main,Line C,Night,330ml,4078,67,4011,Mussafah,2359,Abu Dhabi,Company Truck,Online,3302.6,1658,4,67.63,6152.44,22
1/18/2024,Abu Dhabi Main,Line C,Night,500ml,2824,30,2794,Mussafah,1604,Dubai,Contractor,Retail,2887.2,1446.6,13,44.78,4284.49,21.6
1/18/2024,Abu Dhabi Main,Bottling Line 1,Morning,5 Gallon,813,5,808,Abu Dhabi Port,431,Dubai,Company Truck,Wholesale,8620,5172.5,4,50.71,12173.39,21.4
1/18/2024,Abu Dhabi Main,Bottling Line 1,Morning,330ml,4070,48,4022,Mussafah,2386,Dubai,Company Truck,Retail,3340.4,1675,3,92.5,6128.45,21.7
1/18/2024,Abu Dhabi Main,Bottling Line 1,Morning,500ml,2769,45,2724,Mussafah,1604,Dubai,Contractor,Wholesale,2887.2,1448.1,6,60.83,4153.73,22.1
1/18/2024,Abu Dhabi Main,Bottling Line 1,Evening,5 Gallon,911,8,903,Khalifa City,485,Al Ain,Company Truck,Online,9700,5820.8,3,56.07,13680.62,22.4
1/18/2024,Abu Dhabi Main,Bottling Line 1,Evening,330ml,4153,92,4061,Mussafah,2419,Dubai,Contractor,Subscription,3386.6,1702.5,4,76.06,6204.49,22.3
1/18/2024,Abu Dhabi Main,Bottling Line 1,Evening,500ml,2607,46,2561,Khalifa City,1497,Sharjah,Company Truck,Retail,2694.6,1351.9,4,67.13,3878.02,21.5
1/18/2024,Abu Dhabi Main,Bottling Line 1,Night,5 Gallon,496,3,493,Khalifa City,262,Dubai,Third-party Logistics,Wholesale,5240,3144.3,8,9.25,7450.4,20.7
1/18/2024,Abu Dhabi Main,Bottling Line 1,Night,330ml,2912,87,2825,Mussafah,1621,Dubai,Third-party Logistics,Online,2269.4,1143.4,6,59.73,4389.58,22.8
1/18/2024,Abu Dhabi Main,Bottling Line 1,Night,500ml,6195,66,6129,Dubai Hub,3603,Al Ain,Company Truck,Retail,6485.4,3249.3,6,114.4,9325.02,22.6
1/18/2024,Abu Dhabi Main,Bottling Line 2,Morning,5 Gallon,641,4,637,Dubai Hub,346,Abu Dhabi,Company Truck,Wholesale,6920,4152.4,7,15.01,9654.92,22
1/18/2024,Abu Dhabi Main,Bottling Line 2,Morning,330ml,2744,45,2699,Abu Dhabi Port,1582,Dubai,Contractor,Wholesale,2214.8,1111.9,1,40.8,4094.84,21.1
1/18/2024,Abu Dhabi Main,Bottling Line 2,Morning,500ml,3706,90,3616,Abu Dhabi Port,2108,Al Ain,Company Truck,Retail,3794.4,1906.2,5,83.87,5578.51,21
1/18/2024,Abu Dhabi Main,Bottling Line 2,Evening,5 Gallon,859,8,851,Khalifa City,454,Dubai,Company Truck,Wholesale,9080,5448.8,5,52.77,12934.61,21.5
1/18/2024,Abu Dhabi Main,Bottling Line 2,Evening,330ml,2793,57,2736,Dubai Hub,1610,Dubai,Third-party Logistics,Retail,2254,1132.7,4,55.22,4177.49,22.4
1/18/2024,Abu Dhabi Main,Bottling Line 2,Evening,500ml,2772,43,2729,Mussafah,1573,Dubai,Company Truck,Retail,2831.4,1420,7,71.95,4198.63,23.2
1/18/2024,Abu Dhabi Main,Bottling Line 2,Night,5 Gallon,766,4,762,Abu Dhabi Port,405,Dubai,Company Truck,Subscription,8100,4860.4,14,52.16,11493.77,21.8
1/18/2024,Abu Dhabi Main,Bottling Line 2,Night,330ml,2423,57,2366,Khalifa City,1373,Abu Dhabi,Contractor,Retail,1922.2,966.8,9,67.64,3611.08,20.2
1/18/2024,Abu Dhabi Main,Bottling Line 2,Night,500ml,2144,31,2113,Dubai Hub,1219,Al Ain,Contractor,Wholesale,2194.2,1100.2,21,35.63,3229.39,21.3
1/19/2024,Abu Dhabi Main,Line A,Morning,5 Gallon,583,4,579,Abu Dhabi Port,308,Dubai,Contractor,Online,6160,3696.4,8,13.61,8783.65,22.7
1/19/2024,Abu Dhabi Main,Line A,Morning,330ml,4799,48,4751,Abu Dhabi Port,2743,Al Ain,Company Truck,Wholesale,3840.2,1924.9,7,96.55,7243.64,18.9
1/19/2024,Abu Dhabi Main,Line A,Morning,500ml,2712,54,2658,Mussafah,1544,Other UAE,Third-party Logistics,Retail,2779.2,1395,8,47.01,4115.44,21.9
1/19/2024,Abu Dhabi Main,Line A,Evening,5 Gallon,621,3,618,Abu Dhabi Port,325,Dubai,Contractor,Retail,6500,3900.3,7,42.2,9341.29,20.8
1/19/2024,Abu Dhabi Main,Line A,Evening,330ml,3653,86,3567,Khalifa City,2040,Dubai,Company Truck,Retail,2856,1436.6,5,83.72,5508.08,23.9
1/19/2024,Abu Dhabi Main,Line A,Evening,500ml,2446,47,2399,Dubai Hub,1396,Dubai,Company Truck,Subscription,2512.8,1261.1,10,47.8,3704.62,21.5
1/19/2024,Abu Dhabi Main,Line A,Night,5 Gallon,975,7,968,Dubai Hub,524,Dubai,Company Truck,Subscription,10480,6288.7,8,30.96,14615.88,22.3
1/19/2024,Abu Dhabi Main,Line A,Night,330ml,4076,99,3977,Abu Dhabi Port,2351,Abu Dhabi,Company Truck,Retail,3291.4,1655.6,11,83.84,6137.9,23.6
1/19/2024,Abu Dhabi Main,Line A,Night,500ml,3503,68,3435,Dubai Hub,1986,Other UAE,Third-party Logistics,Wholesale,3574.8,1794.2,8,65.66,5300.47,22.6
1/19/2024,Abu Dhabi Main,Line B,Morning,5 Gallon,1133,7,1126,Abu Dhabi Port,608,Al Ain,Company Truck,Retail,12160,7296.7,4,71.88,16952.4,22.4
1/19/2024,Abu Dhabi Main,Line B,Morning,330ml,3817,81,3736,Abu Dhabi Port,2156,Dubai,Third-party Logistics,Wholesale,3018.4,1517.3,5,61.96,5752.49,24.5
1/19/2024,Abu Dhabi Main,Line B,Morning,500ml,3769,95,3674,Khalifa City,2122,Abu Dhabi,Company Truck,Retail,3819.6,1919.3,4,68.7,5671.27,22.6
1/19/2024,Abu Dhabi Main,Line B,Evening,5 Gallon,459,3,456,Mussafah,240,Sharjah,Company Truck,Subscription,4800,2880.3,10,17.89,6891.57,23.1
1/19/2024,Abu Dhabi Main,Line B,Evening,330ml,4189,95,4094,Mussafah,2366,Other UAE,Contractor,Wholesale,3312.4,1665.7,5,95.72,6318.13,24.2
1/19/2024,Abu Dhabi Main,Line B,Evening,500ml,4225,117,4108,Khalifa City,2342,Dubai,Company Truck,Wholesale,4215.6,2119.5,3,78.09,6340.27,24.2
1/19/2024,Abu Dhabi Main,Line B,Night,5 Gallon,1015,7,1008,Dubai Hub,537,Abu Dhabi,Company Truck,Retail,10740,6444.7,10,41.1,15197.29,22.5
1/19/2024,Abu Dhabi Main,Line B,Night,330ml,4027,106,3921,Khalifa City,2243,Abu Dhabi,Company Truck,Retail,3140.2,1580.7,8,64.58,6043.84,20.8
1/19/2024,Abu Dhabi Main,Line B,Night,500ml,2164,31,2133,Abu Dhabi Port,1266,Abu Dhabi,Third-party Logistics,Retail,2278.8,1142.5,13,60.08,3273.23,21.8
1/19/2024,Abu Dhabi Main,Line C,Morning,5 Gallon,900,8,892,Mussafah,478,Abu Dhabi,Company Truck,Subscription,9560,5736.8,5,54.63,13485.84,23.7
1/19/2024,Abu Dhabi Main,Line C,Morning,330ml,2750,33,2717,Mussafah,1592,Abu Dhabi,Company Truck,Subscription,2228.8,1117.7,10,39,4111.04,21.6
1/19/2024,Abu Dhabi Main,Line C,Morning,500ml,3549,63,3486,Abu Dhabi Port,2042,Dubai,Third-party Logistics,Retail,3675.6,1844.1,4,84.88,5291.24,20.6
1/19/2024,Abu Dhabi Main,Line C,Evening,5 Gallon,608,4,604,Khalifa City,325,Al Ain,Company Truck,Wholesale,6500,3900.4,8,16.46,9150.94,22.5
1/19/2024,Abu Dhabi Main,Line C,Evening,330ml,2197,38,2159,Abu Dhabi Port,1240,Abu Dhabi,Company Truck,Retail,1736,871.8,10,42.76,3319,20.8
1/19/2024,Abu Dhabi Main,Line C,Evening,500ml,3943,80,3863,Mussafah,2299,Abu Dhabi,Company Truck,Retail,4138.2,2077.1,8,61.51,5961.37,21.9
1/19/2024,Abu Dhabi Main,Line C,Night,5 Gallon,996,9,987,Dubai Hub,542,Al Ain,Third-party Logistics,Retail,10840,6504.9,9,56.05,14926.56,22.8
1/19/2024,Abu Dhabi Main,Line C,Night,330ml,3922,84,3838,Khalifa City,2288,Sharjah,Company Truck,Wholesale,3203.2,1610,7,88.17,5904.73,20.8
1/19/2024,Abu Dhabi Main,Line C,Night,500ml,2814,65,2749,Dubai Hub,1622,Dubai,Contractor,Wholesale,2919.6,1466.3,15,71.62,4246.99,20.7
1/19/2024,Abu Dhabi Main,Bottling Line 1,Morning,5 Gallon,986,9,977,Dubai Hub,517,Dubai,Contractor,Subscription,10340,6204.9,7,29.87,14803.46,22.9
1/19/2024,Abu Dhabi Main,Bottling Line 1,Morning,330ml,3315,65,3250,Dubai Hub,1916,Al Ain,Company Truck,Wholesale,2682.4,1347.7,6,68.14,4934.28,20
1/19/2024,Abu Dhabi Main,Bottling Line 1,Morning,500ml,2327,35,2292,Dubai Hub,1319,Dubai,Company Truck,Retail,2374.2,1190.6,10,60.79,3516.83,19.8
1/19/2024,Abu Dhabi Main,Bottling Line 1,Evening,5 Gallon,881,6,875,Abu Dhabi Port,478,Abu Dhabi,Company Truck,Retail,9560,5736.6,6,46.18,13258.95,23.6
1/19/2024,Abu Dhabi Main,Bottling Line 1,Evening,330ml,2812,29,2783,Abu Dhabi Port,1608,Dubai,Contractor,Wholesale,2251.2,1128.5,10,57.46,4172.7,22.1
1/19/2024,Abu Dhabi Main,Bottling Line 1,Evening,500ml,5790,101,5689,Khalifa City,3396,Dubai,Third-party Logistics,Retail,6112.8,3066.5,5,133.03,8706.61,23.9
1/19/2024,Abu Dhabi Main,Bottling Line 1,Night,5 Gallon,989,9,980,Abu Dhabi Port,513,Abu Dhabi,Contractor,Retail,10260,6156.9,9,48.51,14817.19,22.7
1/19/2024,Abu Dhabi Main,Bottling Line 1,Night,330ml,2040,33,2007,Mussafah,1148,Abu Dhabi,Company Truck,Retail,1607.2,806.9,14,53.7,3086.46,19.5
1/19/2024,Abu Dhabi Main,Bottling Line 1,Night,500ml,4456,66,4390,Khalifa City,2587,Other UAE,Company Truck,Online,4656.6,2334.9,7,74.06,6707.97,21.6
1/19/2024,Abu Dhabi Main,Bottling Line 2,Morning,5 Gallon,813,6,807,Dubai Hub,433,Abu Dhabi,Company Truck,Wholesale,8660,5196.6,10,38.82,12152.04,21.6
1/19/2024,Abu Dhabi Main,Bottling Line 2,Morning,330ml,1681,20,1661,Khalifa City,973,Sharjah,Contractor,Wholesale,1362.2,683.1,5,43.96,2493.96,22.5
1/19/2024,Abu Dhabi Main,Bottling Line 2,Morning,500ml,3471,64,3407,Mussafah,2038,Sharjah,Company Truck,Wholesale,3668.4,1840.6,8,60.45,5181.67,22
1/19/2024,Abu Dhabi Main,Bottling Line 2,Evening,5 Gallon,710,5,705,Mussafah,374,Other UAE,Third-party Logistics,Retail,7480,4488.5,1,39.77,10656.56,23.7
1/19/2024,Abu Dhabi Main,Bottling Line 2,Evening,330ml,4446,96,4350,Mussafah,2506,Dubai,Company Truck,Wholesale,3508.4,1763.8,8,83.35,6686.26,23.4
1/19/2024,Abu Dhabi Main,Bottling Line 2,Evening,500ml,3781,86,3695,Dubai Hub,2168,Dubai,Contractor,Subscription,3902.4,1959.8,4,88.15,5684.31,23.7
1/19/2024,Abu Dhabi Main,Bottling Line 2,Night,5 Gallon,504,4,500,Abu Dhabi Port,270,Sharjah,Third-party Logistics,Wholesale,5400,3240.4,12,39.18,7535.35,23
1/19/2024,Abu Dhabi Main,Bottling Line 2,Night,330ml,2376,39,2337,Abu Dhabi Port,1353,Dubai,Company Truck,Wholesale,1894.2,951,9,62.06,3578.83,24
1/19/2024,Abu Dhabi Main,Bottling Line 2,Night,500ml,2462,61,2401,Khalifa City,1380,Abu Dhabi,Company Truck,Subscription,2484,1248.1,13,32.86,3683.61,22.7
1/20/2024,Abu Dhabi Main,Line A,Morning,5 Gallon,888,6,882,Khalifa City,476,Other UAE,Company Truck,Retail,9520,5712.6,8,47.67,13360.88,22.9
1/20/2024,Abu Dhabi Main,Line A,Morning,330ml,4349,103,4246,Mussafah,2522,Dubai,Third-party Logistics,Wholesale,3530.8,1775.7,5,101.07,6488.08,21.5
1/20/2024,Abu Dhabi Main,Line A,Morning,500ml,2831,60,2771,Khalifa City,1655,Al Ain,Company Truck,Wholesale,2979,1495.5,2,63.32,4223.88,21.9
1/20/2024,Abu Dhabi Main,Line A,Evening,5 Gallon,695,5,690,Mussafah,375,Abu Dhabi,Third-party Logistics,Online,7500,4500.5,5,34.08,10418.89,21.2
1/20/2024,Abu Dhabi Main,Line A,Evening,330ml,4308,119,4189,Abu Dhabi Port,2390,Dubai,Third-party Logistics,Online,3346,1684.9,6,76.7,6449.02,21.4
1/20/2024,Abu Dhabi Main,Line A,Evening,500ml,4882,144,4738,Dubai Hub,2731,Dubai,Company Truck,Online,4915.8,2472.3,3,86.75,7307.83,22.9
1/20/2024,Abu Dhabi Main,Line A,Night,5 Gallon,782,6,776,Dubai Hub,416,Abu Dhabi,Third-party Logistics,Retail,8320,4992.6,3,37.04,11745.03,23.6
1/20/2024,Abu Dhabi Main,Line A,Night,330ml,3777,42,3735,Abu Dhabi Port,2160,Sharjah,Contractor,Wholesale,3024,1516.2,13,75.17,5685.92,20.9
1/20/2024,Abu Dhabi Main,Line A,Night,500ml,4450,65,4385,Dubai Hub,2525,Abu Dhabi,Contractor,Wholesale,4545,2279,9,81.58,6625.68,22.8
1/20/2024,Abu Dhabi Main,Line B,Morning,5 Gallon,906,5,901,Dubai Hub,493,Dubai,Contractor,Retail,9860,5916.5,5,49.36,13615.88,21.2
1/20/2024,Abu Dhabi Main,Line B,Morning,330ml,4480,80,4400,Dubai Hub,2547,Sharjah,Company Truck,Retail,3565.8,1790.9,10,103.49,6688.3,21.5
1/20/2024,Abu Dhabi Main,Line B,Morning,500ml,4348,59,4289,Khalifa City,2521,Abu Dhabi,Contractor,Retail,4537.8,2274.8,2,85.03,6481.4,20
1/20/2024,Abu Dhabi Main,Line B,Evening,5 Gallon,1177,11,1166,Mussafah,624,Abu Dhabi,Company Truck,Online,12480,7489.1,3,61.57,17642.48,22.6
1/20/2024,Abu Dhabi Main,Line B,Evening,330ml,3820,104,3716,Abu Dhabi Port,2127,Dubai,Third-party Logistics,Wholesale,2977.8,1499.3,3,91.59,5697.75,23.8
1/20/2024,Abu Dhabi Main,Line B,Evening,500ml,2720,43,2677,Khalifa City,1578,Dubai,Company Truck,Retail,2840.4,1424.5,7,42.13,4045.53,22.4
1/20/2024,Abu Dhabi Main,Line B,Night,5 Gallon,1074,8,1066,Mussafah,573,Dubai,Company Truck,Retail,11460,6876.8,8,39.36,16156.04,21.9
1/20/2024,Abu Dhabi Main,Line B,Night,330ml,1411,40,1371,Mussafah,789,Sharjah,Company Truck,Wholesale,1104.6,556.3,17,44.69,2122.8,22.9
1/20/2024,Abu Dhabi Main,Line B,Night,500ml,4411,56,4355,Abu Dhabi Port,2513,Sharjah,Company Truck,Retail,4523.4,2267.3,8,71.52,6568.88,20.1
1/20/2024,Abu Dhabi Main,Line C,Morning,5 Gallon,1094,10,1084,Mussafah,587,Dubai,Company Truck,Subscription,11740,7045,5,46.98,16418.75,23.8
1/20/2024,Abu Dhabi Main,Line C,Morning,330ml,4438,46,4392,Dubai Hub,2507,Abu Dhabi,Third-party Logistics,Retail,3509.8,1759.5,5,101.78,6694.37,23
1/20/2024,Abu Dhabi Main,Line C,Morning,500ml,2745,29,2716,Dubai Hub,1612,Sharjah,Third-party Logistics,Wholesale,2901.6,1453.7,5,37.82,4087.86,20.3
1/20/2024,Abu Dhabi Main,Line C,Evening,5 Gallon,469,4,465,Abu Dhabi Port,254,Abu Dhabi,Company Truck,Online,5080,3048.4,9,36.7,7083.44,20.4
1/20/2024,Abu Dhabi Main,Line C,Evening,330ml,1797,40,1757,Dubai Hub,1040,Dubai,Contractor,Subscription,1456,732,5,28.33,2739.53,25.7
1/20/2024,Abu Dhabi Main,Line C,Evening,500ml,3922,71,3851,Khalifa City,2278,Sharjah,Company Truck,Wholesale,4100.4,2057.3,6,83.5,5872.55,22.7
1/20/2024,Abu Dhabi Main,Line C,Night,5 Gallon,1206,7,1199,Dubai Hub,654,Abu Dhabi,Contractor,Retail,13080,7848.7,9,69.9,18135.53,23.5
1/20/2024,Abu Dhabi Main,Line C,Night,330ml,3199,68,3131,Mussafah,1868,Abu Dhabi,Third-party Logistics,Retail,2615.2,1314.4,8,47.44,4833.15,20.7
1/20/2024,Abu Dhabi Main,Line C,Night,500ml,2130,31,2099,Khalifa City,1206,Abu Dhabi,Contractor,Retail,2170.8,1088.5,6,40.04,3182.09,22.9
1/20/2024,Abu Dhabi Main,Bottling Line 1,Morning,5 Gallon,563,5,558,Abu Dhabi Port,295,Abu Dhabi,Company Truck,Retail,5900,3540.5,7,42.53,8420.08,20.8
1/20/2024,Abu Dhabi Main,Bottling Line 1,Morning,330ml,3954,114,3840,Khalifa City,2245,Abu Dhabi,Company Truck,Wholesale,3143,1582.9,8,76.63,5968.13,20.8
1/20/2024,Abu Dhabi Main,Bottling Line 1,Morning,500ml,3947,82,3865,Mussafah,2282,Dubai,Company Truck,Wholesale,4107.6,2062,5,83.68,5887.49,23.4
1/20/2024,Abu Dhabi Main,Bottling Line 1,Evening,5 Gallon,590,4,586,Mussafah,308,Dubai,Company Truck,Wholesale,6160,3696.4,4,45.93,8893.72,22.4
1/20/2024,Abu Dhabi Main,Bottling Line 1,Evening,330ml,3348,49,3299,Abu Dhabi Port,1930,Abu Dhabi,Third-party Logistics,Retail,2702,1355.9,7,83.74,4987.31,22.1
1/20/2024,Abu Dhabi Main,Bottling Line 1,Evening,500ml,2168,63,2105,Abu Dhabi Port,1238,Sharjah,Company Truck,Retail,2228.4,1120.5,6,55.58,3216.4,21.7
1/20/2024,Abu Dhabi Main,Bottling Line 1,Night,5 Gallon,926,6,920,Dubai Hub,495,Al Ain,Company Truck,Subscription,9900,5940.6,12,44.84,13873.78,22.4
1/20/2024,Abu Dhabi Main,Bottling Line 1,Night,330ml,3847,53,3794,Abu Dhabi Port,2254,Sharjah,Contractor,Wholesale,3155.6,1583.1,7,73.27,5784.9,21.3
1/20/2024,Abu Dhabi Main,Bottling Line 1,Night,500ml,2484,69,2415,Dubai Hub,1379,Abu Dhabi,Company Truck,Wholesale,2482.2,1248,4,35.95,3714.43,22
1/20/2024,Abu Dhabi Main,Bottling Line 2,Morning,5 Gallon,962,9,953,Khalifa City,506,Dubai,Contractor,Online,10120,6072.9,3,34.13,14411.65,20
1/20/2024,Abu Dhabi Main,Bottling Line 2,Morning,330ml,4341,119,4222,Mussafah,2447,Abu Dhabi,Company Truck,Online,3425.8,1724.8,6,68.93,6546.76,21.3
1/20/2024,Abu Dhabi Main,Bottling Line 2,Morning,500ml,2750,61,2689,Dubai Hub,1587,Al Ain,Contractor,Retail,2856.6,1434.4,8,39.06,4131.19,23
1/20/2024,Abu Dhabi Main,Bottling Line 2,Evening,5 Gallon,902,7,895,Abu Dhabi Port,475,Dubai,Third-party Logistics,Subscription,9500,5700.7,7,51.65,13494.66,21.5
1/20/2024,Abu Dhabi Main,Bottling Line 2,Evening,330ml,2934,57,2877,Abu Dhabi Port,1659,Sharjah,Contractor,Retail,2322.6,1167,8,74.44,4448.03,24.1
1/20/2024,Abu Dhabi Main,Bottling Line 2,Evening,500ml,3160,41,3119,Khalifa City,1778,Other UAE,Company Truck,Wholesale,3200.4,1604.3,10,81.15,4698.31,23.1
1/20/2024,Abu Dhabi Main,Bottling Line 2,Night,5 Gallon,534,5,529,Abu Dhabi Port,285,Abu Dhabi,Company Truck,Wholesale,5700,3420.5,16,43.34,8008.96,21.2
1/20/2024,Abu Dhabi Main,Bottling Line 2,Night,330ml,4201,69,4132,Mussafah,2475,Dubai,Company Truck,Retail,3465,1739.4,12,100.2,6289.5,22.6
1/20/2024,Abu Dhabi Main,Bottling Line 2,Night,500ml,3979,114,3865,Khalifa City,2235,Al Ain,Company Truck,Subscription,4023,2022.9,14,96.33,5926.98,22.5
1/21/2024,Abu Dhabi Main,Line A,Morning,5 Gallon,982,6,976,Khalifa City,521,Dubai,Third-party Logistics,Retail,10420,6252.6,5,29.64,14760.7,24
1/21/2024,Abu Dhabi Main,Line A,Morning,330ml,2364,52,2312,Khalifa City,1383,Abu Dhabi,Contractor,Retail,1936.2,973.3,6,30.95,3591.14,20.7
1/21/2024,Abu Dhabi Main,Line A,Morning,500ml,4522,109,4413,Mussafah,2585,Al Ain,Contractor,Retail,4653,2337.4,10,109.41,6759.33,23.8
1/21/2024,Abu Dhabi Main,Line A,Evening,5 Gallon,749,4,745,Abu Dhabi Port,405,Dubai,Company Truck,Retail,8100,4860.4,3,50.89,11214.67,21.5
1/21/2024,Abu Dhabi Main,Line A,Evening,330ml,2643,65,2578,Abu Dhabi Port,1505,Abu Dhabi,Company Truck,Retail,2107,1060,6,52.62,4004.77,21.6
1/21/2024,Abu Dhabi Main,Line A,Evening,500ml,5192,132,5060,Mussafah,2897,Dubai,Contractor,Retail,5214.6,2620.5,8,98.16,7819.1,21.6
1/21/2024,Abu Dhabi Main,Line A,Night,5 Gallon,909,5,904,Dubai Hub,488,Sharjah,Company Truck,Wholesale,9760,5856.5,15,63.26,13625.32,23.4
1/21/2024,Abu Dhabi Main,Line A,Night,330ml,2580,32,2548,Khalifa City,1504,Abu Dhabi,Company Truck,Wholesale,2105.6,1056,8,58.07,3837.28,22.2
1/21/2024,Abu Dhabi Main,Line A,Night,500ml,1937,29,1908,Dubai Hub,1133,Abu Dhabi,Company Truck,Subscription,2039.4,1022.6,11,40.71,2878.27,21.9
1/21/2024,Abu Dhabi Main,Line B,Morning,5 Gallon,893,7,886,Abu Dhabi Port,471,Other UAE,Company Truck,Retail,9420,5652.7,7,43.72,13373.93,23.1
1/21/2024,Abu Dhabi Main,Line B,Morning,330ml,1954,43,1911,Khalifa City,1111,Dubai,Company Truck,Retail,1555.4,782,6,46.62,2893.81,22.3
1/21/2024,Abu Dhabi Main,Line B,Morning,500ml,2033,28,2005,Khalifa City,1183,Sharjah,Third-party Logistics,Wholesale,2129.4,1067.5,5,56.73,3047.12,21.3
1/21/2024,Abu Dhabi Main,Line B,Evening,5 Gallon,921,8,913,Khalifa City,486,Al Ain,Company Truck,Retail,9720,5832.8,7,46.49,13774.56,23.4
1/21/2024,Abu Dhabi Main,Line B,Evening,330ml,2359,66,2293,Abu Dhabi Port,1310,Abu Dhabi,Company Truck,Retail,1834,923.6,6,57.98,3559.69,20.7
1/21/2024,Abu Dhabi Main,Line B,Evening,500ml,3379,55,3324,Dubai Hub,1912,Dubai,Contractor,Subscription,3441.6,1726.3,11,66.97,5049.92,23
1/21/2024,Abu Dhabi Main,Line B,Night,5 Gallon,1181,7,1174,Abu Dhabi Port,617,Abu Dhabi,Company Truck,Wholesale,12340,7404.7,10,73.16,17694.82,21.1
1/21/2024,Abu Dhabi Main,Line B,Night,330ml,2396,27,2369,Khalifa City,1388,Al Ain,Company Truck,Retail,1943.2,974.3,13,45.69,3575.41,23.7
1/21/2024,Abu Dhabi Main,Line B,Night,500ml,3028,40,2988,Mussafah,1781,Abu Dhabi,Third-party Logistics,Wholesale,3205.8,1606.9,5,55.31,4523.53,23
1/21/2024,Abu Dhabi Main,Line C,Morning,5 Gallon,1129,7,1122,Mussafah,598,Dubai,Company Truck,Wholesale,11960,7176.7,8,38.03,16936.17,23.6
1/21/2024,Abu Dhabi Main,Line C,Morning,330ml,3427,98,3329,Abu Dhabi Port,1973,Other UAE,Company Truck,Retail,2762.2,1390.9,5,78.57,5139.75,22.2
1/21/2024,Abu Dhabi Main,Line C,Morning,500ml,5531,115,5416,Khalifa City,3235,Al Ain,Company Truck,Subscription,5823,2923,7,101.05,8270.43,22.7
1/21/2024,Abu Dhabi Main,Line C,Evening,5 Gallon,584,4,580,Khalifa City,318,Sharjah,Third-party Logistics,Retail,6360,3816.4,3,21.98,8748.75,22.5
